Method,S,OA_percent_mean,OA_percent_std,Balanced_accuracy_mean,Balanced_accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,AUC_mean,AUC_std
CGR + EMPR,10,83.1923,7.9219,0.8319,0.0792,0.7702,0.0880,0.9662,0.0272,0.8549,0.0602,0.9324,0.0654
CGR + EMPR,20,95.0526,1.7926,0.9505,0.0179,0.9250,0.0375,0.9826,0.0182,0.9524,0.0164,0.9937,0.0039
CGR + EMPR,30,96.6351,1.5636,0.9664,0.0156,0.9504,0.0330,0.9857,0.0201,0.9672,0.0146,0.9973,0.0020
CGR + EMPR,40,97.4306,1.2392,0.9743,0.0124,0.9580,0.0240,0.9928,0.0027,0.9749,0.0118,0.9984,0.0014
CGR + EMPR,50,97.4714,1.2689,0.9747,0.0127,0.9609,0.0227,0.9903,0.0065,0.9752,0.0121,0.9978,0.0018
