S,Method,OA (%),Bal. Acc.,F1,AUC,MCC
10,CGR + EMPR,95.6 ± 2.6,92.6 ± 3.8,0.890 ± 0.058,0.992 ± 0.007,
10,DCT,96.8 ± 1.8,94.9 ± 4.7,0.917 ± 0.054,0.994 ± 0.008,0.900 ± 0.059
10,DCT + SVD,90.2 ± 3.5,87.4 ± 4.8,0.774 ± 0.070,0.956 ± 0.033,0.720 ± 0.088
10,SVD,51.1 ± 25.8,49.7 ± 3.2,0.209 ± 0.148,0.514 ± 0.042,-0.016 ± 0.063
50,CGR + EMPR,98.8 ± 0.6,98.6 ± 0.8,0.971 ± 0.015,1.000 ± 0.000,
50,DCT,98.2 ± 0.6,96.5 ± 1.5,0.953 ± 0.015,0.997 ± 0.002,0.942 ± 0.018
50,DCT + SVD,93.3 ± 2.8,91.3 ± 3.9,0.841 ± 0.059,0.980 ± 0.015,0.804 ± 0.074
50,SVD,59.7 ± 11.7,54.7 ± 3.1,0.310 ± 0.042,0.576 ± 0.043,0.081 ± 0.050
